methods, precision, recall, fscore
CBFS, 73.57, 72.86, 71.29
CDFS, 79.85, 81.69, 79.25
STOCH, 56.69, 62.69, 58.78
CSTOCH, 53.89, 59.15, 54.77
CSTOCH2, 59.41, 63.64, 59.50
CSTOCHSET2, 70.52, 71.83, 67.79
WSELECT, 88.85, 88.73, 88.06
WSELECT2, 75.98, 80.28, 76.67
WSELECTSET2, 70.14, 73.24, 68.30
CBFS, 74.82, 78.87, 75.52
CDFS, 35.44, 44.44, 36.50
STOCH, 73.34, 69.12, 66.85
CSTOCH, 61.23, 68.06, 63.64
CSTOCH2, 67.54, 72.86, 68.91
CSTOCHSET2, 69.21, 70.83, 66.41
WSELECT, 86.52, 86.11, 84.71
WSELECT2, 74.77, 75.00, 72.62
WSELECTSET2, 68.65, 69.44, 65.74
CBFS, 75.03, 74.65, 71.89
CDFS, 71.42, 74.65, 71.69
STOCH, 67.62, 67.65, 64.61
CSTOCH, 58.43, 62.50, 59.23
CSTOCH2, 62.19, 62.86, 60.70
CSTOCHSET2, 72.94, 77.46, 73.47
WSELECT, 88.60, 88.73, 87.94
WSELECT2, 69.64, 68.06, 67.78
WSELECTSET2, 69.95, 74.65, 70.70
